id	0	1	cluster
146.0	-8360.152978388074	-1293.2301164767855	6.0
147.0	-8458.571113649512	-1203.8003316506329	6.0
148.0	-8629.874664328883	-1252.714863226304	6.0
149.0	-8662.480364239093	-1215.2627216690705	6.0
150.0	-8585.21602267942	-1216.7667956739924	6.0
151.0	-8589.571008466875	-1287.9912684288302	6.0
152.0	-8682.894640639384	-1114.4236116936174	6.0
153.0	-8652.231419014486	-1023.5440869377085	6.0
154.0	-8656.158859160345	-854.1269743712413	6.0
155.0	-8748.59583851577	-953.1796441372084	6.0
156.0	-8613.113556640219	-1075.2493021587215	6.0
157.0	-8441.916348869241	-1090.8472683510697	6.0
158.0	-8469.60197406781	-1092.119952562966	6.0
159.0	-8506.755604381175	-1205.0720176567668	6.0
160.0	-8469.441387764347	-1137.5187951965224	6.0
161.0	-8404.688732179853	-1096.7166548519942	6.0
162.0	-8519.831815273676	-1048.5017776061784	6.0
163.0	-8517.63002044428	-1049.308604902704	6.0
164.0	-8512.793728869186	-1052.6418917771232	6.0
165.0	-8490.673943344393	-1041.2988262383865	6.0
166.0	-8519.376393400284	-1009.3823758437427	6.0
167.0	-8547.699446941411	-986.2282189179407	6.0
168.0	-8570.81435693557	-841.7839418379912	6.0
169.0	-8479.28714133225	-915.5403294085677	6.0
170.0	-8566.769509912436	-1028.7488947068532	6.0
171.0	-8496.538011672537	-946.2031114624926	6.0
172.0	-8571.341340322795	-1036.6952692647483	6.0
173.0	-8464.717567212752	-1091.975740628171	6.0
174.0	-8464.899056009697	-1077.1888701133244	6.0
